,High,Low,Close
0,175.49,167.5,170.44
1,166.01,164.1,165.61
2,165.54,163.86,165.28
3,166.17,164.31,166.0
4,165.05,163.75,164.43
5,165.0,162.81,164.53
6,165.7,163.17,164.14
7,163.73,159.42,162.86
8,160.78,158.81,159.73
9,160.32,159.33,159.97
10,159.78,158.42,159.26
11,159.16,156.2,158.9
12,155.42,152.91,155.27
13,153.98,151.51,153.5
14,151.99,149.19,151.44
15,150.04,148.0,148.82
16,150.85,148.13,150.34
17,152.15,147.8,148.43
18,151.92,150.06,150.98
19,152.5,148.92,151.04
20,153.47,149.86,153.24
21,153.31,150.39,150.58
22,156.5,153.2,153.59
23,155.2,152.65,155.07
24,154.55,152.91,153.4
25,154.08,151.88,153.91
26,153.84,152.21,152.25
27,153.57,151.71,152.87
28,150.83,148.6,150.64
29,150.04,146.37,149.8
30,152.4,149.05,150.25
31,151.18,148.9,150.68
32,149.2,144.56,148.44
33,155.59,146.61,149.6
34,154.73,153.1,154.71
35,153.75,152.34,153.12
36,154.52,152.48,152.81
37,154.71,153.41,153.63
38,153.63,151.3,153.61
39,152.29,150.3,151.53
40,153.35,151.09,151.46
41,152.9,151.64,152.38
42,152.25,151.15,152.13
43,152.59,149.95,151.96
44,150.23,148.42,150.04
45,148.81,147.25,148.07
46,148.59,147.69,148.24
47,149.39,147.96,148.06
48,148.15,144.51,147.66
49,148.67,144.42,144.85
50,150.21,149.03,149.78
51,151.48,149.77,150.19
52,150.46,149.63,150.33
53,150.65,149.41,150.04
54,150.52,148.86,150.29
55,152.59,150.21,150.48
56,151.08,149.74,151.06
57,151.63,149.79,150.24
58,151.52,148.72,150.85
59,153.6,151.34,151.8
60,153.44,151.66,152.78
61,152.57,151.42,152.46
62,151.53,149.07,150.25
63,147.75,146.14,147.7
64,147.59,146.09,146.56
65,147.15,145.79,146.49
66,145.67,144.34,145.47
67,144.17,142.27,143.68
68,144.25,142.69,143.8
69,143.04,141.27,142.27
70,141.9,140.61,140.96
71,141.55,139.75,141.42
72,140.58,139.33,139.39
73,140.4,139.44,139.58
74,141.03,138.81,139.92
75,141.43,140.63,141.04
76,141.55,140.24,140.78
77,142.22,140.91,141.17
78,143.44,141.29,141.85
79,142.09,141.27,141.73
80,142.47,140.82,142.28
81,142.63,141.89,142.05
82,142.95,141.85,142.41
83,142.86,141.43,142.65
84,141.95,140.01,141.76
85,140.65,138.77,140.32
86,141.02,139.76,140.34
87,140.39,139.09,139.53
88,139.79,137.6,139.59
89,142.31,138.4,138.51
90,140.19,139.25,139.94
91,140.34,139.7,139.84
92,140.25,139.73,139.99
93,140.1,138.49,139.72
94,139.46,138.52,139.32
95,139.68,138.67,139.6
96,139.49,138.22,138.79
97,138.57,137.4,138.24
98,137.99,137.05,137.72
99,138.37,136.99,137.3
100,137.83,136.51,137.42
101,137.33,136.08,137.17
102,137.82,136.31,136.76
103,137.48,136.3,137.42
104,136.8,134.75,135.54
105,137.18,135.02,136.41
106,135.62,134.16,135.44
107,136.12,134.33,135.36
108,136.79,133.46,136.12
109,133.91,132.9,133.72
110,134.09,133.17,133.53
111,133.87,133.02,133.84
112,133.7,132.66,133.44
113,134.23,132.55,133.85
114,134.7,133.7,134.05
115,134.94,133.68,134.19
116,134.5,133.31,134.14
117,134.44,132.44,134.2
118,133.0,131.66,131.84
119,132.06,130.3,132.06
120,132.85,130.76,130.98
121,135.49,130.4,130.84
122,133.49,130.68,133.23
123,130.66,129.52,130.32
124,131.58,129.6,130.98
125,132.95,131.08,132.18
126,133.14,131.44,132.78
127,131.74,129.77,131.48
128,129.9,128.38,129.37
129,129.25,126.95,128.93
130,128.48,126.78,127.04
131,128.35,127.45,127.55
132,128.43,126.84,127.92
133,128.34,127.4,127.87
134,129.27,127.37,128.34
135,126.73,124.8,126.62
136,126.12,124.06,126.09
137,125.5,124.28,124.35
138,125.43,123.04,124.9
139,123.88,120.03,123.41
140,120.95,118.32,120.67
141,119.66,117.29,118.69
142,117.84,115.51,116.86
143,116.83,114.77,115.05
144,117.53,116.06,116.35
145,118.25,116.65,116.92
146,118.68,116.86,118.01
147,117.56,116.3,117.27
148,118.99,116.93,117.4
149,119.2,118.48,119.04
150,119.77,118.8,119.09
151,120.36,118.51,119.24
152,121.5,119.27,119.87
153,122.5,119.63,120.57
154,121.69,118.85,120.21
155,121.52,117.61,120.31
156,119.24,117.65,117.77
157,119.94,118.95,119.68
158,119.5,117.64,118.91
159,117.95,116.57,117.95
160,117.8,116.33,117.31
161,117.57,115.07,117.43
162,116.48,114.3,115.4
163,118.45,114.0,115.1
164,121.79,117.95,118.42
165,122.1,120.4,120.87
166,121.69,119.82,120.41
167,121.14,120.07,120.38
168,121.31,119.94,120.84
169,122.98,120.9,121.47
170,121.95,117.8,121.77
171,119.13,116.84,117.02
172,117.79,116.01,117.79
173,117.88,114.21,116.34
174,118.49,115.83,117.2
175,119.13,113.55,115.08
176,120.7,118.15,119.02
177,124.18,115.27,120.8
178,123.81,120.51,123.18
179,124.61,121.54,124.22
180,123.21,121.35,122.15
181,121.93,119.25,120.75
182,123.28,119.5,120.0
183,130.23,126.28,127.17
184,131.94,128.65,129.5
185,132.12,130.88,130.99
186,132.97,129.93,131.29
187,131.8,129.27,129.69
188,132.26,130.94,131.04
189,133.5,132.22,132.29
190,133.4,132.15,133.28
191,132.13,129.7,132.07
192,130.66,129.5,130.0
193,130.47,128.6,130.11
194,129.39,128.01,128.57
195,128.47,127.32,127.54
196,128.95,127.58,127.88
197,128.25,126.75,127.82
198,129.66,128.46,129.05
199,130.64,128.23,128.88
200,130.7,129.2,130.24
201,129.25,128.33,128.99
202,129.06,128.08,128.74
203,128.8,127.83,128.47
204,129.28,127.55,128.19
205,129.09,127.8,128.77
206,128.59,127.45,128.27
207,129.29,127.55,128.09
208,129.47,128.4,129.23
209,129.01,127.43,128.69
210,128.16,126.8,127.31
211,128.6,127.3,127.96
212,130.73,129.56,130.08
213,130.0,128.39,129.94
214,129.17,128.03,128.64
215,129.94,128.26,128.65
216,129.18,128.2,129.07
217,129.1,127.67,128.35
218,128.8,126.89,127.77
219,128.35,126.66,127.21
220,128.76,125.75,128.69
221,129.95,127.1,127.1
222,131.08,129.81,130.27
223,131.98,129.95,131.05
224,129.94,126.47,129.73
225,126.86,126.0,126.51
226,126.63,125.6,126.17
227,126.22,125.1,126.12
228,126.6,125.15,125.84
229,126.73,124.35,126.54
230,125.19,123.91,124.96
231,124.37,123.1,123.89
232,124.69,123.09,123.48
233,125.09,124.25,124.37
234,124.83,123.11,124.15
235,124.16,123.28,123.56
236,124.26,123.64,123.91
237,124.38,122.85,124.37
238,123.92,122.78,123.3
239,124.92,123.7,123.9
240,125.0,124.18,124.88
241,125.38,124.75,124.9
242,125.48,124.54,124.88
243,126.09,124.53,125.06
244,125.45,124.55,125.26
245,125.84,124.62,125.15
246,124.79,122.51,124.36
247,123.92,122.31,122.51
248,124.8,122.07,123.09
249,124.58,122.86,124.31
250,125.84,123.71,123.94
251,128.33,123.63,125.0
252,125.0,121.51,123.34
253,122.07,120.75,121.22
254,121.85,117.78,121.63
255,121.01,119.31,121.0
256,122.1,120.25,120.61
257,122.2,120.56,121.92
258,120.85,118.66,120.61
259,119.61,116.89,119.37
260,118.28,116.58,116.86
261,117.64,116.7,117.29
262,118.4,116.68,116.78
263,118.72,117.57,117.93
264,118.7,117.5,117.87
265,117.5,115.85,117.24
266,116.97,115.36,115.85
267,116.79,112.97,116.7
268,114.11,112.97,114.0
269,115.13,113.81,114.19
270,115.18,113.67,114.28
271,114.25,113.04,114.16
272,112.75,110.55,112.7
273,111.57,108.23,108.97
274,113.68,111.0,112.08
275,115.09,113.54,115.08
276,114.74,113.61,113.91
277,115.21,113.97,114.38
278,114.72,112.75,113.37
279,114.43,112.56,113.02
280,114.5,112.94,114.39
281,115.44,114.07,114.6
282,114.95,113.58,114.94
283,115.48,113.31,113.95
284,118.11,116.26,116.62
285,118.68,117.71,118.56
286,118.6,117.27,118.39
287,119.3,117.67,117.76
288,119.43,118.36,118.79
289,118.98,117.86,118.47
290,119.44,118.22,118.93
291,119.08,117.82,118.78
292,120.1,118.12,118.81
293,119.85,119.01,119.38
294,119.76,117.92,119.47
295,118.66,117.38,117.89
296,117.73,116.12,117.7
297,117.6,115.94,115.97
298,117.99,116.95,117.35
299,117.49,115.88,116.81
300,118.27,116.73,117.65
301,119.01,117.2,117.35
302,119.61,117.35,118.67
303,120.64,119.68,119.81
304,120.84,118.9,120.28
305,121.08,119.42,119.52
306,120.5,119.0,120.5
307,120.28,118.9,119.24
308,119.64,117.11,119.49
309,118.98,117.25,117.81
310,118.3,116.57,118.06
311,118.16,117.02,117.43
312,118.73,116.57,118.57
313,117.84,115.84,117.58
314,120.79,116.23,116.73
315,108.94,106.31,108.89
316,110.5,108.15,108.76
317,110.67,109.07,110.1
318,111.75,109.01,110.56
319,114.04,112.31,113.44
320,113.27,111.56,112.42
321,112.45,109.16,112.29
322,110.81,109.2,110.45
323,110.97,109.2,109.64
324,112.04,110.26,110.84
325,112.65,106.52,110.51
326,111.16,108.99,110.61
327,110.91,108.77,108.99
328,114.33,109.9,110.63
329,114.89,113.07,113.64
330,113.81,112.42,113.71
331,113.32,111.9,112.22
332,114.55,111.61,112.55
333,116.17,113.35,116.06
334,115.01,113.77,114.1
335,116.99,114.36,114.7
336,116.32,113.64,116.14
337,114.59,112.95,113.69
338,113.09,111.68,113.05
339,113.19,112.0,112.54
340,112.88,111.17,112.25
341,112.37,111.03,111.85
342,112.42,110.27,111.45
343,112.69,110.73,111.02
344,112.5,110.1,112.18
345,110.83,108.84,110.67
346,110.33,108.77,109.89
347,109.42,107.92,109.41
348,108.66,105.77,107.32
349,107.51,105.49,107.51
350,107.37,104.4,105.93
351,108.07,104.72,105.73
352,110.05,107.93,108.39
353,110.3,108.54,109.58
354,110.55,108.77,109.95
355,109.82,107.6,109.82
356,108.91,106.75,106.92
357,109.45,107.16,107.92
358,108.07,105.61,108.07
359,106.95,102.74,106.88
360,107.47,105.12,105.46
361,108.25,105.34,107.16
362,105.02,102.06,104.57
363,106.0,103.03,103.47
364,105.72,100.4,105.2
365,103.93,100.24,101.61
366,104.24,101.09,102.01
367,105.11,98.88,101.91
368,103.25,100.24,101.0
369,102.4,96.82,99.54
370,102.68,97.46,99.75
371,109.58,103.18,104.07
372,111.94,109.25,110.49
373,115.34,109.75,112.69
374,117.59,113.2,114.61
375,115.72,112.01,115.09
376,112.84,108.84,112.21
377,110.34,104.81,109.11
378,97.85,94.23,94.45
379,97.88,95.66,97.34
380,99.48,96.93,97.01
381,98.07,95.49,97.94
382,95.99,92.62,94.16
383,95.0,89.37,94.35
384,97.42,93.92,95.26
385,96.38,93.54,94.97
386,98.87,92.45,98.37
387,100.58,95.21,95.44
388,99.96,97.55,99.37
389,98.6,95.39,97.51
390,100.5,97.03,97.33
391,101.43,97.3,97.92
392,103.77,100.9,102.97
393,103.71,101.66,102.73
394,102.24,99.75,102.22
395,106.17,104.62,104.66
396,107.25,106.06,106.22
397,107.74,106.25,107.26
398,105.98,104.53,105.93
399,105.32,104.5,105.02
400,106.11,103.86,104.63
401,105.66,104.81,105.51
402,105.15,103.6,104.77
403,106.59,103.97,104.04
404,107.75,106.13,106.22
405,107.09,104.19,106.79
406,105.8,104.28,104.55
407,104.74,101.46,104.66
408,104.34,101.91,102.12
409,106.4,104.41,105.42
410,106.44,103.55,104.6
411,106.91,103.95,106.49
412,106.83,104.66,105.61
413,107.73,104.11,106.18
414,106.85,103.35,104.38
415,107.92,105.79,106.07
416,107.15,104.5,107.12
417,106.1,103.75,104.24
418,105.96,104.86,105.45
419,106.6,105.1,105.41
420,106.49,104.39,105.74
421,107.47,106.08,106.95
422,107.87,106.62,107.32
423,107.73,105.95,106.26
424,107.88,105.39,107.77
425,106.2,104.14,105.13
426,104.17,100.47,104.04
427,108.25,103.83,103.95
428,109.39,108.0,108.02
429,109.87,107.11,109.01
430,108.15,105.24,107.91
431,108.25,105.86,106.49
432,108.74,105.91,107.1
433,110.65,107.95,108.76
434,104.14,102.48,103.94
435,103.65,102.4,102.58
436,103.47,101.18,103.31
437,104.72,101.65,101.97
438,105.12,103.52,104.88
439,104.48,102.92,104.2
440,104.1,102.4,103.7
441,103.81,101.55,103.77
442,102.85,100.16,102.19
443,99.73,97.55,99.67
444,98.18,96.47,97.11
445,99.59,96.56,97.0
446,98.57,96.92,98.47
447,97.59,95.35,97.54
448,96.3,94.9,95.96
449,95.2,93.61,94.07
450,95.37,93.55,94.12
451,94.6,92.67,94.26
452,93.74,92.24,93.24
453,93.22,90.47,92.47
454,93.66,91.37,92.4
455,94.17,92.34,92.8
456,94.27,92.66,94.01
457,92.2,88.37,92.07
458,90.95,88.36,90.95
459,90.02,88.01,89.9
460,90.06,85.72,86.67
461,92.29,88.18,89.21
462,95.85,92.06,92.77
463,94.76,92.24,94.41
464,94.32,92.8,93.97
465,94.68,91.92,92.96
466,96.49,94.52,95.55
467,95.19,93.05,94.4
468,95.51,92.9,94.34
469,93.6,92.63,93.45
470,93.25,91.79,92.9
471,92.62,91.6,92.31
472,92.08,91.13,92.05
473,92.06,89.63,91.98
474,91.98,90.17,90.44
475,90.24,88.83,89.53
476,88.39,86.7,88.26
477,89.82,87.73,88.15
478,89.89,87.63,89.89
479,89.39,86.5,87.23
480,91.05,88.89,89.43
481,91.48,89.79,91.01
482,90.06,87.19,89.73
483,87.46,83.26,87.19
484,87.67,83.0,83.0
485,87.14,72.0,82.09
486,89.18,85.61,86.06
487,94.77,90.46,90.56
488,96.1,94.16,95.31
489,95.85,94.04,95.17
490,94.46,93.39,93.93
491,94.72,93.21,94.42
492,94.73,93.35,93.43
493,94.44,91.19,94.19
494,94.76,92.9,93.62
495,95.9,93.63,94.15
496,95.4,93.61,94.3
497,98.74,94.42,95.12
498,97.09,95.18,96.44
499,94.73,93.33,94.06
500,95.08,92.8,94.14
501,96.33,93.95,94.01
502,95.81,91.8,95.21
503,97.28,94.74,96.99
504,95.56,93.31,95.29
505,96.61,93.83,94.17
506,97.76,95.88,96.95
507,97.45,94.81,95.44
508,97.58,95.92,97.04
509,99.24,97.14,98.39
510,98.6,95.36,97.91
511,95.39,92.54,94.97
512,90.86,89.77,90.85
513,90.99,89.42,89.76
514,90.8,89.65,89.68
515,90.22,88.42,90.1
516,88.22,86.77,87.95
517,87.6,85.65,85.88
518,86.75,85.44,85.65
519,87.85,85.23,87.22
520,88.18,86.39,87.55
521,87.44,86.34,87.28
522,87.95,86.49,86.91
523,86.7,85.57,85.76
524,87.5,85.73,85.8
525,88.34,86.83,88.01
526,89.4,87.84,87.98
527,89.25,87.45,88.86
528,87.97,84.76,87.88
529,84.97,83.31,84.74
530,82.98,82.12,82.51
531,83.19,81.57,82.9
532,82.22,81.34,81.79
533,81.51,80.45,81.06
534,80.93,80.07,80.71
535,82.09,81.2,81.53
536,82.9,81.36,81.83
537,82.6,80.81,82.16
538,81.19,79.32,80.67
539,82.0,80.13,80.67
540,82.46,81.51,82.14
541,82.95,81.51,82.05
542,82.53,81.25,82.44
543,81.35,79.56,80.44
544,80.38,78.66,80.29
545,80.07,78.88,79.19
546,81.07,80.0,80.14
547,80.66,79.43,80.55
548,80.6,79.08,79.34
549,81.31,80.25,80.54
550,80.92,80.08,80.48
551,81.1,79.46,80.55
552,81.69,80.55,80.63
553,81.38,80.23,80.88
554,81.52,80.18,80.42
555,81.84,78.67,81.37
556,78.53,77.65,78.44
557,77.89,76.79,77.46
558,79.03,77.93,78.01
